REGION,week,p2.5,p25,p50,p75,p97.5,mean,p.positive
Maine,2020-02-16,-3.819755259619989e-4,0.016917575854011997,0.021670833860797933,0.024897509314148115,0.0283210617130987,0.019853204647236826,0.9735
Maryland,2020-02-16,-0.014230311891434973,0.010840460597496498,0.019371302989808235,0.02499235857052072,0.030740411205037507,0.016359207313697045,0.909
Massachusetts,2020-02-16,0.0013243625742274227,0.013233361049893637,0.017756768421600497,0.021160092340893,0.02561680004712649,0.016592205942333384,0.97975
Michigan,2020-02-16,-0.024585150083526616,0.004663591224217253,0.011325743768255228,0.015418264575825954,0.01895165192861901,0.007827071291423357,0.84125
Minnesota,2020-02-16,-0.025392143355269986,0.0044008157469289,0.01361278704855469,0.01977784310957041,0.027273000998202405,0.010330045689407725,0.82075
Mississippi,2020-02-16,-0.06766903797024262,-0.013206793728979219,0.004173873972909796,0.016470734330223735,0.03039553542631313,-0.001582254520921578,0.57375
Missouri,2020-02-16,-0.04275668528319435,-0.0031104625583677215,0.010228822760201319,0.019286922221091785,0.02978098138467994,0.00572999439099803,0.708
Montana,2020-02-16,0.003432870081594278,0.019579032320992954,0.02322275934131792,0.02526741168453767,0.027059991880209713,0.021259658087702655,0.98475
Nebraska,2020-02-16,-0.056285145740939464,-0.0016732909653079803,0.012528435410156706,0.021000625738488543,0.0290565259983825,0.005687814692057075,0.7265
Nevada,2020-02-16,-0.02320473404101332,-0.008114184808558227,-0.003001742570150942,7.164080026041586e-4,0.005236777972678349,-0.004526706294705473,0.29725
New Hampshire,2020-02-16,0.003273352597531747,0.021158054394176923,0.025752575978582243,0.02844832533896266,0.030981589912600707,0.023469648853582138,0.98175
New Jersey,2020-02-16,-0.050236086580851005,9.892424210860666e-4,0.016430529479495568,0.026755636709408913,0.03695790290270961,0.010551243259466402,0.76125
New Mexico,2020-02-16,-0.027191702830514072,0.003477156427137385,0.014305282548686125,0.022588755790490904,0.031938101974562205,0.011191833129941757,0.80625
New York,2020-02-16,-0.012117548060822414,0.007393454310272176,0.013984088770327505,0.019299134450204043,0.026311554751413915,0.012271380110339208,0.89325
North Carolina,2020-02-16,-0.034053981234314454,0.006180212978402322,0.01712434127079296,0.024251276826780598,0.03179450348060667,0.012500352213316968,0.826
North Dakota,2020-02-16,-0.061087248144757966,-0.011307830276196239,8.561535741756481e-4,0.008664691275839295,0.01579570598256301,-0.004916477184322165,0.52375
Ohio,2020-02-16,-0.013577075126581848,0.002404386819945639,0.007605617844757843,0.011215077355003121,0.015649830627288197,0.005855343616195328,0.82525
Oklahoma,2020-02-16,-0.06695774468792894,-0.0041415922866036604,0.016735071519357155,0.030489386011736275,0.04740949013224919,0.009691194289535804,0.71475
Oregon,2020-02-16,-0.013778478250128286,0.0068337055767757355,0.012602670223550723,0.01644977884358445,0.02096303185305937,0.010243978558963,0.8855
Pennsylvania,2020-02-16,-0.016651117336179563,0.0012272360944773344,0.007993296442615488,0.013011449957817304,0.019376469079700455,0.006168476421665962,0.78475
Rhode Island,2020-02-16,-0.0013736893784124765,0.03204348711993032,0.040305259619445116,0.04514576679169523,0.0498572337725159,0.036340292911265615,0.97275
South Carolina,2020-02-16,-0.049099981689185786,0.02819333696177062,0.04500212649053277,0.05448706610338898,0.062126763126430146,0.03499762563551454,0.90375
South Dakota,2020-02-16,-0.01623598401920125,0.003768598613060303,0.010608693265621727,0.015852289888727764,0.022551635461604054,0.00870037716420487,0.83425
Tennessee,2020-02-16,-0.04369899929665505,0.014726247737566658,0.030078363860491716,0.039295557862307255,0.04846722273031802,0.02325089714247475,0.8715
