REGION,date,p2.5,p25,p50,p75,p97.5,p.positive,week,State,CDC_week,NewCasesWeek
Missouri,2020-03-15,0.008260697296996166,0.0032373983226311256,0.0027414349883061813,0.0024728254378917113,0.002215937236290947,0.992,35,Missouri,12,88
Missouri,2020-03-22,0.06083421324947848,0.027840558983416794,0.023991122577403115,0.02186057496266385,0.019763648010761112,0.99575,36,Missouri,13,745
Montana,2020-03-08,0.0016720824528287615,8.876937098039624e-4,7.982487107538688e-4,7.573171393498364e-4,7.251556705163593e-4,0.9945,34,Montana,11,2
Montana,2020-03-15,0.016918352234249943,0.009754251183921888,0.0089376401382919,0.008532130658536773,0.008193100204868407,0.996,35,Montana,12,23
Montana,2020-03-22,0.09273566602595765,0.05592253773356923,0.051529424655985624,0.04930764765770632,0.04756941607866378,0.997,36,Montana,13,118
Nebraska,2020-02-16,-1.0477997767364803e-4,-0.0034455081718626017,4.7564548541990703e-4,2.824584458481794e-4,2.040432695155053e-4,0.72575,31,Nebraska,8,1
Nebraska,2020-02-23,-2.3954245645584906e-4,0.0022015730963272258,6.079506699139516e-4,4.2653241582526894e-4,3.3680757536517456e-4,0.80725,32,Nebraska,9,2
Nebraska,2020-03-01,-1.29873032946111e-4,8.717604067038727e-4,3.0202450807659975e-4,2.1797879910228065e-4,1.7431258066575233e-4,0.8255,33,Nebraska,10,1
Nebraska,2020-03-08,-0.00326260507701948,0.004496751677301483,0.0027961925992071846,0.0023072825484581165,0.0019886949432052514,0.916,34,Nebraska,11,15
Nebraska,2020-03-15,-0.007600110509008113,0.010273716524807658,0.006450889472489893,0.005293715592723935,0.004574890181371615,0.91175,35,Nebraska,12,32
Nevada,2020-03-08,0.22128331157141207,0.00843214259138169,0.006366239265389581,0.005412538493884064,0.00457190324507675,0.9765,34,Nevada,11,19
Nevada,2020-03-15,1.2771923918228678,0.06375232505994659,0.04890692392989314,0.04172638846969398,0.035511268473190936,0.979,35,Nevada,12,144
New Hampshire,2020-03-01,-0.004189429680388281,0.0022569488143464322,0.0016672755540536302,0.0014489360908682568,0.0012962851861520195,0.95225,33,New Hampshire,10,3
New Hampshire,2020-03-08,-0.002741989687110142,0.0042274025951967095,0.0026460022184861824,0.0021849637597536158,0.0018791789212910148,0.90475,34,New Hampshire,11,3
New Hampshire,2020-03-15,-0.05236479853272192,0.09188560793010153,0.05742121406392237,0.04729450125820041,0.0406646782099969,0.90775,35,New Hampshire,12,58
New Hampshire,2020-03-22,-0.10748218473338111,0.9768126429496797,0.29624050044178674,0.21177394992810483,0.16955651869314972,0.81425,36,New Hampshire,13,149
New Jersey,2020-03-01,-9.548166459638643e-5,2.8765236408079606e-4,1.2900465401034428e-4,9.794533134308507e-5,7.71169765736682e-5,0.8605,33,New Jersey,10,3
New Jersey,2020-03-08,-0.008844323022880154,0.0021580417342408975,0.0016023479069525654,0.001375390194166142,0.001197610246627643,0.96075,34,New Jersey,11,71
New Jersey,2020-03-15,0.03613397931874234,0.01678939943015503,0.014641866637286166,0.013536359090110287,0.012534548339878791,0.9955,35,New Jersey,12,1261
New Jersey,2020-03-22,0.1391978970951825,0.08992065958817713,0.08178461655813082,0.07734162803086161,0.07336695907654144,0.99875,36,New Jersey,13,9788
New Mexico,2020-03-08,-0.01432954483244075,0.002789555095344068,0.0019790101710983614,0.0016333049161810634,0.001342264135385784,0.96575,34,New Mexico,11,9
New Mexico,2020-03-15,0.028098674065134638,0.0085419789648004,0.006980099772600739,0.006165213465110898,0.005386347876979735,0.98975,35,New Mexico,12,44
New Mexico,2020-03-22,0.32467421163033855,0.04152989965073085,0.032452482915787145,0.027886595609706393,0.023877626714698535,0.98,36,New Mexico,13,151
New York,2020-03-01,-0.012201626027531757,0.0028311993418573857,0.0019401837101952223,0.001564159664971432,0.001245530312348105,0.9595,33,New York,10,88
New York,2020-03-08,0.010852492171291934,0.006062290145519012,0.0052074902482929465,0.004702298047827673,0.004186063050351726,0.9975,34,New York,11,521
New York,2020-03-15,0.06662006290094065,0.05290331116565499,0.04929606390884353,0.04676035084838511,0.0440485343847193,1,35,New York,12,9746
New York,2020-03-22,0.22019776634645086,0.1847070175612898,0.17477637486311187,0.16778326426192278,0.1594670430787082,1,36,New York,13,43007
North Carolina,2020-03-01,-7.76004519994261e-5,9.688631475931173e-5,5.885663368738425e-5,4.619942672857638e-5,3.82515202597721e-5,0.91475,33,North Carolina,10,1
North Carolina,2020-03-08,-0.0037236195014491826,0.0014608440136545573,0.0010430399085921231,8.86163724366333e-4,7.674550068188097e-4,0.95125,34,North Carolina,11,23
North Carolina,2020-03-15,0.10441164383890157,0.00719508080003695,0.005711534058677975,0.005078393517279943,0.004544596659490003,0.978,35,North Carolina,12,159
North Carolina,2020-03-22,-0.10227083955992144,0.06665582385658096,0.04600307822276479,0.038384827714943524,0.03283790514741286,0.9435,36,North Carolina,13,788
North Dakota,2020-03-15,0.029110567312226856,0.009420030614208125,0.008133532137574416,0.007445547576814544,0.0069423921006659855,0.9895,35,North Dakota,12,27
North Dakota,2020-03-22,0.2362331707410814,0.03163202450656638,0.026334222714972072,0.023871356030966972,0.021916836667291568,0.981,36,North Dakota,13,66
Ohio,2020-03-08,-0.004437864975419119,0.002348594815557298,0.0015701849457154084,0.0012702607471218555,0.0010423349519496175,0.94525,34,Ohio,11,23
Ohio,2020-03-15,0.053657768091420435,0.012257269384756374,0.009889493824416246,0.00867904552695363,0.0075549181739697005,0.98625,35,Ohio,12,221
Ohio,2020-03-22,0.36706678153818084,0.07366192819571653,0.05938044632530513,0.0516502573168068,0.04486357065097266,0.98425,36,Ohio,13,1159
Oklahoma,2020-03-08,-3.0431851838973384e-4,6.654813381615641e-4,3.361025216764836e-4,2.521499176417536e-4,1.9721766481023073e-4,0.883,34,Oklahoma,11,3
Oklahoma,2020-03-15,-0.019577883740293674,0.00486769710133959,0.00354641392949601,0.002961139848838288,0.0025465212420217403,0.96175,35,Oklahoma,12,49
Oklahoma,2020-03-22,0.06946064903466391,0.022687665938611143,0.018468444310699376,0.016412497610681035,0.014583625071217512,0.9905,36,Oklahoma,13,324
Oregon,2020-03-01,0.003226333000919971,6.059752897786373e-4,4.942551031671756e-4,4.393592842337824e-4,3.9248079123478647e-4,0.98425,33,Oregon,10,5
Oregon,2020-03-08,0.004393799041855609,0.0023048206772762724,0.0020327801209778047,0.0018785902540258733,0.001739813822328876,0.996,34,Oregon,11,30
Oregon,2020-03-15,0.008969547873542974,0.005848654813868919,0.005368114074429845,0.005060166303873111,0.004763007382580243,0.99875,35,Oregon,12,101
Oregon,2020-03-22,0.040053740135086564,0.025353231654114003,0.022954238682255653,0.02151965872678742,0.020210618136061922,0.9985,36,Oregon,13,342
Pennsylvania,2020-03-01,-1.2488949509967295e-4,1.8623685690106784e-4,1.049801896400424e-4,7.929787648362782e-5,5.86730334929221e-5,0.90275,33,Pennsylvania,10,2
Pennsylvania,2020-03-08,0.005844747406274846,0.0014104778201850887,0.0011112318604613721,9.557593662199185e-4,8.073393082527182e-4,0.99,34,Pennsylvania,11,43
Pennsylvania,2020-03-15,0.00990583019362969,0.005914596100080464,0.005195186579109964,0.00475111075161791,0.004297516623545999,0.9985,35,Pennsylvania,12,341
Pennsylvania,2020-03-22,0.11245400031669214,0.056183500953711774,0.04815216723118266,0.043195105500409975,0.03841288834608341,0.9985,36,Pennsylvania,13,2427
Rhode Island,2020-03-01,-0.0013600084930560554,3.438144548894008e-4,2.583547563794735e-4,2.2424884460233013e-4,2.0013081087727464e-4,0.9645,33,Rhode Island,10,1
Rhode Island,2020-03-08,-0.008703351071123888,0.010637943980571109,0.006821123987082767,0.005609328274231795,0.004835768774426092,0.9135,34,Rhode Island,11,17
Rhode Island,2020-03-15,-0.011874331495364291,-0.2650699140177434,0.06476954401595283,0.03681544306368768,0.026429437395294783,0.71625,35,Rhode Island,12,46
Rhode Island,2020-03-22,-0.035264134545972145,-0.11630423147710021,-0.26940877201095853,-1.4360130272372624,0.5249154183639569,0.17575,36,Rhode Island,13,173
South Carolina,2020-03-08,0.028130649427248442,7.717737053255809e-4,6.414672819771987e-4,5.905273830194095e-4,5.539480961222476e-4,0.97875,34,South Carolina,11,17
South Carolina,2020-03-15,0.018405127871664213,0.005752478636513087,0.005006095162291376,0.004683552191678824,0.004455937662249581,0.98775,35,South Carolina,12,153
South Carolina,2020-03-22,5.368438892442354,0.028627112537069142,0.024080487622206884,0.022115906099181928,0.0207457195668838,0.97525,36,South Carolina,13,488
South Dakota,2020-03-08,-0.011411038424060377,0.0063671037096007565,0.004149408227569639,0.003281810964496786,0.0026237311999363967,0.942,34,South Dakota,11,4
South Dakota,2020-03-15,-0.019409834989937206,0.006417342179343423,0.004571232352850789,0.003754973979885592,0.0030826001723356414,0.9575,35,South Dakota,12,5
South Dakota,2020-03-22,-0.06412680067922469,0.6547620426735862,0.15222432383808648,0.09611341423309236,0.0654190444667604,0.79625,36,South Dakota,13,54
Tennessee,2020-03-08,-0.007539847371605481,0.0018570755172486434,0.0014247585538212492,0.001240051682392025,0.0011089273825272844,0.96475,34,Tennessee,11,31
Tennessee,2020-03-15,0.03023069122483084,0.010377280704693813,0.008959917791150733,0.008254732727508858,0.007657182381896536,0.99,35,Tennessee,12,280
Tennessee,2020-03-22,0.14285437232447,0.04581523362573606,0.03934903926197853,0.03610001924782618,0.033602796466279186,0.99075,36,Tennessee,13,1052
